address,chain,type,confidence,evidence
12moRZcD4Vy7WXAcbUgYgLA9FoBPrXTCAW5WbCqCTEUc4dG4,polkadot,phishing,high,"polkadot-js_phishing"
12eZ7Z2bpu9tKAWF7ut64W1uw265HtKrw3fNaE2tbMKzC9Fx,polkadot,phishing,high,"polkadot-js_phishing"
1ZURA97ytkt5UzXnY5Dikb72DpG36ASbAgqnq6FgARUfksL,polkadot,phishing,high,"polkadot-js_phishing"
Ea5tiakNhCZFyxmRjBHwLf945fPSB8XFxhn5aUekfDyaHvs,polkadot,phishing,high,"polkadot-js_phishing"
128qayNTm5mRgKoMtmwTzsi2EwbWwcWnTvXv1xmKiVonFk9T,polkadot,phishing,high,"polkadot-js_phishing"
14Vm4o3uNZdEJvjGsoTGcWAac8pKETuCvThrv2toGRd5mqjd,polkadot,phishing,high,"polkadot-js_phishing"
15aHionFg8vVU2JxshGq8YTwYKwgVwM4deAQ6SMHB9XdSXuR,polkadot,phishing,high,"polkadot-js_phishing"
19miEm83FPKY9UtQk7eNjsRaoiw1UZcCawGhvA9uM4m8ak6,polkadot,phishing,high,"polkadot-js_phishing"
DfcWKx1P9hXGYFg3Wef1Shd2eXzEq2zbCxNDj3ensKBbpgy,polkadot,phishing,high,"polkadot-js_phishing"
Ep2sBdP9974k9FRYvmjyfyffnyy5WfpgWuBCefJS3ySf2DL,polkadot,phishing,high,"polkadot-js_phishing"
EXszXNkNJPxdaD3MbRGsSChYMEZqENx8ojN4QaFA2TXVdam,polkadot,phishing,high,"polkadot-js_phishing"
GRy7LfBXoFaYadiCBGHS1gG4VHLeQPhXtzYmwpw3519Fsna,polkadot,phishing,high,"polkadot-js_phishing"
H4hHhuhs1zWm1jAjj42VAr7VTc99yV3J9x3tXLTtD2GnMvD,polkadot,phishing,high,"polkadot-js_phishing"
JLTc71gmpMB95GJSgXrp79Soijvqibg27uiQRkLEDHdRrqq,polkadot,phishing,high,"polkadot-js_phishing"
12PYb7mRTTKVwAqtdwp8tcvnq2Vwj8Xr47q1nPNPpXsKq8F7,polkadot,phishing,high,"polkadot-js_phishing"
12zjCHjeTB9Qoj8tiUTGkRRyYNwXyAZbGvs8p1YZsy1t4vws,polkadot,phishing,high,"polkadot-js_phishing"
15DRsDdtTtrrZEgBEm4G9SSNV5anev4qTkCarHsZ6eLy2hhn,polkadot,phishing,high,"polkadot-js_phishing"
FsZ8HpXnrYrCPhYZRhc4coeyvTVVMVMXzqqhG4kgXYXB259,polkadot,phishing,high,"polkadot-js_phishing"
1V4SqTDeq79DVtgHBjpkuJtNDJt3KvCEzphRJWKs29Fn7DF,polkadot,phishing,high,"polkadot-js_phishing"
159oXVjZNRJU3W89SYrKPwgWXK11SVGy8TFqSWVku9qcyDVQ,polkadot,phishing,high,"polkadot-js_phishing"
12KYiC8PZaXuGFay57m8TJCeHaRGp1uy4ADMiqVkXArMiSqP,polkadot,phishing,high,"polkadot-js_phishing"
13dwDYAFBrpsxQi1XUCor8FKUs7GQcEM6oGGaDhEE9y8CXYd,polkadot,phishing,high,"polkadot-js_phishing"
12Wq34hifmLv4MGZKof1XnA9hugnzMyjqos1ffGretnDSkKn,polkadot,phishing,high,"polkadot-js_phishing"
1Rb2Uhkkztfz2oJewKXcEBRykQurtJAZ1zLEsWyrFs24RFD,polkadot,phishing,high,"polkadot-js_phishing"
16XuqCCe8kBK7SbLhaLhUQQzRLJthB2hdrPzKghVGZqwAsRs,polkadot,phishing,high,"polkadot-js_phishing"
13WKPgYxPyzL8KMcqZ94eSFp2FoQH4AUxxLgjj7Sgkdhw6R9,polkadot,phishing,high,"polkadot-js_phishing"
14iSVrf4GM4SCV1eYCBJpLKjRDjWvLEdb1Rk7jmQSjhkCScv,polkadot,phishing,high,"polkadot-js_phishing"
13wexwAAKXFmubsbWtrWpy2F5osPNFhEsCUdoV1z2NMmxESm,polkadot,phishing,high,"polkadot-js_phishing"
145Q8TtcaosvWTWsQ4G7DARkwPEsDQPdaptKMhDww8QGnG3Z,polkadot,phishing,high,"polkadot-js_phishing"
12GfJZjsUzXxTYXxYcYHArYzC1Hs9E83VniVCEFLpdG7pybW,polkadot,phishing,high,"polkadot-js_phishing"
13DUJB2UFQYJNG8eAgvbPUDZowTnb45cq7EM7WvtkNksPMZW,polkadot,phishing,high,"polkadot-js_phishing"
1Ha5y2Kpc9KdJbtdXdvZoJebj3ZM8VgAZvkbjHtR4mxq7oQ,polkadot,phishing,high,"polkadot-js_phishing"
15x6f6M42ccmTq3emCtyCZUKCbYLH3msCPmHGnEgwUxZRAu4,polkadot,phishing,high,"polkadot-js_phishing"
13tPgZsgmExwuRRKFsvj16LCVN4XXKtjGMH5yLW7cit8GJ73,polkadot,phishing,high,"polkadot-js_phishing"
12We44NDCNUWa9tnfgxmSc38vDXFXcnLDkGdL2Xy45mnhZ52,polkadot,phishing,high,"polkadot-js_phishing"
14BFcanA3zYTpbCmzKGXVEnFe9WoBCq3JdPQdnsiEgEhXSA2,polkadot,phishing,high,"polkadot-js_phishing"
14oEqqqCabUQdsdq1zP1qdb8b4uhEnc2mL1YYHKf8xYbh8FB,polkadot,phishing,high,"polkadot-js_phishing"
128yJEQjj3chFwgvWwp47tDPP1GewnJLz46et8dvRpq63JPX,polkadot,phishing,high,"polkadot-js_phishing"
15qeaJ252MdLNjiEfhb7aLrbDCekLT6MUtkVQPqKGa9P8r5J,polkadot,phishing,high,"polkadot-js_phishing"
126NpgSzEYfqVTqQS98xHkCp5VtsKTQyHaAP2gjpfT31o7fn,polkadot,phishing,high,"polkadot-js_phishing"
138stjzW3YLzLD4JYLLMETD7EpngvPpjwEx9bpJtnHKjNyEG,polkadot,phishing,high,"polkadot-js_phishing"
13tHavsAyZwfQ4TjmJ3m4J21xDeoGMHSJbwxFYqgJmTPUqmS,polkadot,phishing,high,"polkadot-js_phishing"
15HebpddhHUfZZie7CqiqPAN6hqGDAGZJF1mySvuXAfuzkXV,polkadot,phishing,high,"polkadot-js_phishing"
1qexhTWaUtJLejP34EjCaT77nYZoEHNegphjFZhbK4aDpej,polkadot,phishing,high,"polkadot-js_phishing"
1qmaACn27JqK2hsg24n8AaptPtNqNMWKNXUvySnBuWzdQ8x,polkadot,phishing,high,"polkadot-js_phishing"
14mTh8hbaoSoa2r2EBCFYssRjW4KQEGhkyg5Zz7LAiRpg3zg,polkadot,phishing,high,"polkadot-js_phishing"
12fPwMJtQ5UjPaJdtXJiN8YrbaadQCK9LcQahBVvvNHLdCTW,polkadot,phishing,high,"polkadot-js_phishing"
12RGBMjuLkCX6TKUoG33Fm4SzpxNYjwjgqHZ9huk5Nk4NAPh,polkadot,phishing,high,"polkadot-js_phishing"
13QXwR7CMUHksNfMkZ1pHhSGhwsjRWNY6YGFeppJWpwoSjxy,polkadot,phishing,high,"polkadot-js_phishing"
14hE8Pht7NG5613URQ3sznQsNc2UZ4djFJtvvJ8TPCeTmyfZ,polkadot,phishing,high,"polkadot-js_phishing"
14NLZmts5kV15rkmMUVtWkycazK665fCVZvtv8nnxaYHiRTB,polkadot,phishing,high,"polkadot-js_phishing"
15ftXw6mqY4S3izajNjDrCuqjMjqmruW4mm4DbFZajKymf7h,polkadot,phishing,high,"polkadot-js_phishing"
168wBzsuk6gdEASmULaMEiEsfuvvqaFeZhSL9zJmNWpP5orD,polkadot,phishing,high,"polkadot-js_phishing"
1DsARAWRSyMoy815SeZrFytb74Qvw7W2wsrsYWZxZmHcRC4,polkadot,phishing,high,"polkadot-js_phishing"
12fqbLtHefPtK5bN4t68J5aqci4XoWcQp9ZfZFMUZ7rceVg9,polkadot,phishing,high,"polkadot-js_phishing"
1uzCNYyqpYumCMnHbqzDg1FisVq8ttxW5ykw45cTphtsxuW,polkadot,phishing,high,"polkadot-js_phishing"
124QZBBTZtPDGPS4GqK6w8y5rPUC7EydLka9Gk3qCTDemGTN,polkadot,phishing,high,"polkadot-js_phishing"
13DW6RWgjUPcZ9mwwEMcb8qBcakQyzpxNw8ic32QXAEfGLxW,polkadot,phishing,high,"polkadot-js_phishing"
15GhxqrycWiRe9PePtN5CppTk8g63dXgM5vm9a9gwRMbPjRZ,polkadot,phishing,high,"polkadot-js_phishing"
13xyaXynjLvjyFGLnzJRAc22CTL92YBKFxvUHjw3jk63RJru,polkadot,phishing,high,"polkadot-js_phishing"
169jsdkPSn4HrXqPZUzjfdW8e6HzvGgGEzgSpwABwiQWD7Hx,polkadot,phishing,high,"polkadot-js_phishing"
157S94u4bwXapUzQxJsch14c8V2qGHvSLVp3iY1neEUQrPrE,polkadot,phishing,high,"polkadot-js_phishing"
16hGDoTMCp5MidmTrNrM7C4PmW8YsKHWdfWuYNS4j7uqUMZ8,polkadot,phishing,high,"polkadot-js_phishing"
1xxiVzncNRjFHMHUo27iLDo931f35YjVQauRBWuA4JEHfRz,polkadot,phishing,high,"polkadot-js_phishing"
15qfYtQaRHHqxxAhRX5qKh6HXeWaSaF7rLfzjLtgW27USYH1,polkadot,phishing,high,"polkadot-js_phishing"
